Final.Index,Authors,Pub.Year,Journal,Vol.p-p,Study.ID,Species,Taxon.group,Study.type,Year.span,Year,Population,Lat.Decimal.Degrees,Long.Decimal.Degrees,TemporalDataset,SpatialDataset,GenericYr,GenericSpp,Season,Generic.Population,Trait,Sex,Age,Fitness.Measure,Trait.Name,Trait.Class,Generic.Trait.Class,Fitness.Measure.Defined,Fit.Comp,N,Grad.linear.value,Grad.linear.StErr,Grad.linear.p-value,Grad.quad.value,Grad.quad.StErr,Grad.quad.p-value,Diff.linear.value,Diff.linear.StErr,Diff.linear.p-value,Diff.quad.value,Diff.quad.StErr,Diff.quad.p-value
66,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Barb's marsh,44.5239,-76.3739,4,12,7,1,1,1,2,1,1,2,fat content,OtherMO,OMO,number of partners,M,27,0.115,0.2688,ns,,,,,,,,,
67,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Beaver marsh,44.5233,-76.3889,5,1,5,1,1,2,1,1,1,1,body size,Size,Size,number of mating aggregations,M,36,0.341,0.246,ns,-0.147,0.2017,ns,,,,,,
68,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Beaver marsh,44.5233,-76.3889,5,2,6,1,1,2,1,1,1,1,body size,Size,Size,number of mating aggregations,M,24,-0.017,0.186,ns,0.265,0.1878,ns,,,,,,
69,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Beaver marsh,44.5233,-76.3889,5,3,7,1,1,2,1,1,1,1,body size,Size,Size,number of mating aggregations,M,27,0.3,0.2368,ns,-0.043,0.2364,ns,,,,,,
70,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Beaver marsh,44.5233,-76.3889,6,4,5,1,1,2,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,36,0.249,0.2411,ns,,,,,,,,,
71,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Beaver marsh,44.5233,-76.3889,6,5,6,1,1,2,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,24,-0.063,0.1875,ns,,,,,,,,,
72,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Beaver marsh,44.5233,-76.3889,6,6,7,1,1,2,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,27,0.053,0.2163,ns,,,,,,,,,
73,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Beaver marsh,44.5233,-76.3889,7,7,5,1,1,2,1,1,1,2,body size,Size,Size,number of mating partners,M,36,0.341,0.246,ns,-0.147,0.2017,ns,,,,,,
74,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Beaver marsh,44.5233,-76.3889,7,8,6,1,1,2,1,1,1,2,body size,Size,Size,number of mating partners,M,24,0.109,0.148,ns,0.235,0.1494,ns,,,,,,
75,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Beaver marsh,44.5233,-76.3889,7,9,7,1,1,2,1,1,1,2,body size,Size,Size,number of mating partners,M,27,0.23,0.2294,ns,-0.076,0.229,ns,,,,,,
76,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Beaver marsh,44.5233,-76.3889,8,10,5,1,1,2,2,1,1,2,fat content,OtherMO,OMO,number of mating partners,M,36,0.249,0.241,ns,,,,,,,,,
77,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Beaver marsh,44.5233,-76.3889,8,11,6,1,1,2,2,1,1,2,fat content,OtherMO,OMO,number of mating partners,M,24,0.048,0.1492,ns,,,,,,,,,
78,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Beaver marsh,44.5233,-76.3889,8,12,7,1,1,2,2,1,1,2,fat content,OtherMO,OMO,number of mating partners,M,27,0.032,0.2095,ns,,,,,,,,,
79,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1994,1994,Cazorla,37.9367,-2.9583,1,0,1,1,1,1,1,1,1,1,number of carpels per flower ,OtherLH,OLH,seeds initiated,M,61,0.53,,<0.001,,,,,,,,,
80,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1995,1995,Cazorla,37.9367,-2.9583,1,0,2,1,1,1,1,1,1,1,number of carpels per flower ,OtherLH,OLH,seeds initiated,M,47,0.37,,<0.001,,,,,,,,,
81,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1998,1998,Ja_n,37.7667,-3.7711,0,0,5,1,1,2,1,1,1,1,number of carpels per flower ,OtherLH,OLH,seeds initiated,M,58,0.55,,<0.001,,,,,,,,,
82,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1994,1994,Cazorla,37.9367,-2.9583,2,0,1,1,1,1,1,1,1,2,number of carpels per flower ,OtherLH,OLH,seeds matured,F,61,0.39,,<0.01,,,,,,,,,
83,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1995,1995,Cazorla,37.9367,-2.9583,2,0,2,1,1,1,1,1,1,2,number of carpels per flower ,OtherLH,OLH,seeds matured,F,47,0.38,,<0.01,,,,,,,,,
84,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1998,1998,Ja_n,37.7667,-3.7711,0,0,5,1,1,2,1,1,1,2,number of carpels per flower ,OtherLH,OLH,seeds matured,F,58,0.46,,<0.001,,,,,,,,,
85,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1995,1995,Cazorla,37.9367,-2.9583,0,0,2,1,1,1,2,1,1,2,number of ovules per flower ,OtherLH,OLH,seeds matured,F,47,0.44,,<0.01,,,,,,,,,
86,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1997,1997,Ja_n,37.7667,-3.7711,3,0,4,1,1,2,2,1,1,2,number of ovules per flower ,OtherLH,OLH,seeds matured,F,45,0.36,,<0.001,,,,,,,,,
87,Sanchez-Lafuente,2002,American Journal of Botany,89(8):1260-1269,5,Paeonia broteroi,P,L,1998,1998,Ja_n,37.7667,-3.7711,3,0,5,1,1,2,2,1,1,2,number of ovules per flower ,OtherLH,OLH,seeds matured,F,58,0.42,,<0.001,,,,,,,,,
88,Sandring et al. ,2007,Journal of Evolutionary Biology,20:558-567,6,Arabidopsis lyrata,P,L,2000,2000,Spiterstulen,61.6333,8.4,1,0,1,1,1,1,1,1,1,1,first day of flowering,Phenology,Phenology,female reproductive success (number of fruits),F,127,-0.26,,<0.05,0.02,,ns,,,,,,
89,Sandring et al. ,2007,Journal of Evolutionary Biology,20:558-567,6,Arabidopsis lyrata,P,L,2000,2000,Spiterstulen,61.6333,8.4,2,0,1,1,1,1,2,1,1,1,last day of flowering,Phenology,Phenology,female reproductive success (number of fruits),F,127,0.23,,<0.05,0.04,,ns,,,,,,
