Final.Index,Authors,Pub.Year,Journal,Vol.p-p,Study.ID,Species,Taxon.group,Study.type,Year.span,Year,Population,Lat.Decimal.Degrees,Long.Decimal.Degrees,TemporalDataset,SpatialDataset,GenericYr,GenericSpp,Season,Generic.Population,Trait,Sex,Age,Fitness.Measure,Trait.Name,Trait.Class,Generic.Trait.Class,Fitness.Measure.Defined,Fit.Comp,N,Grad.linear.value,Grad.linear.StErr,Grad.linear.p-value,Grad.quad.value,Grad.quad.StErr,Grad.quad.p-value,Diff.linear.value,Diff.linear.StErr,Diff.linear.p-value,Diff.quad.value,Diff.quad.StErr,Diff.quad.p-value
6707,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1999,1999,HV,52.0833,5.8333,3,79,21,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,189,0.035,0.036,ns,,,,,,,,,
6708,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2000,2000,HV,52.0833,5.8333,3,80,22,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,150,0.017,0.037,ns,,,,,,,,,
6709,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2001,2001,HV,52.0833,5.8333,3,81,23,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,233,-0.019,0.033,ns,,,,,,,,,
6710,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2002,2002,HV,52.0833,5.8333,3,82,24,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,167,0.074,0.036,ns,,,,,,,,,
6711,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2003,2003,HV,52.0833,5.8333,3,83,25,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,292,0.033,0.025,ns,,,,,,,,,
6712,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2004,2004,HV,52.0833,5.8333,3,84,26,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,143,-0.016,0.041,ns,,,,,,,,,
6713,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2005,2005,HV,52.0833,5.8333,3,85,27,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,278,0.006,0.027,ns,,,,,,,,,
6714,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2006,2006,HV,52.0833,5.8333,3,86,28,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,149,-0.018,0.041,ns,,,,,,,,,
6715,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2007,2007,HV,52.0833,5.8333,3,87,29,1,1,1,1,1,1,1,adult body mass,Size,Size,survival to the next breeding season,S,120,-0.015,0.046,ns,,,,,,,,,
6716,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1979,1979,HV,52.0833,5.8333,4,88,1,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,182,0.032,0.036,ns,,,,,,,,,
6717,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1980,1980,HV,52.0833,5.8333,4,89,2,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,15,0.184,0.134,ns,,,,,,,,,
6718,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1981,1981,HV,52.0833,5.8333,4,90,3,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,,,,,,,,,,,,,
6719,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1982,1982,HV,52.0833,5.8333,4,91,4,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,,,,,,,,,,,,,
6720,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1983,1983,HV,52.0833,5.8333,4,92,5,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,256,-0.033,0.03,ns,,,,,,,,,
6721,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1984,1984,HV,52.0833,5.8333,4,93,6,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,221,-0.024,0.034,ns,,,,,,,,,
6722,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1985,1985,HV,52.0833,5.8333,4,94,7,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,92,0.129,0.051,ns,,,,,,,,,
6723,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1986,1986,HV,52.0833,5.8333,4,95,8,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,182,0.164,0.034,ns,,,,,,,,,
6724,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1987,1987,HV,52.0833,5.8333,4,96,9,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,320,0.038,0.026,ns,,,,,,,,,
6725,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1988,1988,HV,52.0833,5.8333,4,97,10,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,301,0.021,0.029,ns,,,,,,,,,
6726,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1989,1989,HV,52.0833,5.8333,4,98,11,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,194,0.01,0.035,ns,,,,,,,,,
6727,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1990,1990,HV,52.0833,5.8333,4,99,12,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,183,0.055,0.035,ns,,,,,,,,,
6728,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1991,1991,HV,52.0833,5.8333,4,100,13,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,280,-0.008,0.03,ns,,,,,,,,,
6729,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1992,1992,HV,52.0833,5.8333,4,101,14,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,289,0.016,0.029,ns,,,,,,,,,
6730,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1993,1993,HV,52.0833,5.8333,4,102,15,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,182,-0.023,0.037,ns,,,,,,,,,
6731,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1994,1994,HV,52.0833,5.8333,4,103,16,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,196,0.069,0.035,ns,,,,,,,,,
6732,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1995,1995,HV,52.0833,5.8333,4,104,17,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,169,-0.052,0.038,ns,,,,,,,,,
6733,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1996,1996,HV,52.0833,5.8333,4,105,18,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,308,0.009,0.025,ns,,,,,,,,,
6734,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1997,1997,HV,52.0833,5.8333,4,106,19,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,197,-0.023,0.036,ns,,,,,,,,,
6735,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1998,1998,HV,52.0833,5.8333,4,107,20,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,179,-0.059,0.037,ns,,,,,,,,,
6736,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1999,1999,HV,52.0833,5.8333,4,108,21,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,197,0,0.036,ns,,,,,,,,,
6737,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2000,2000,HV,52.0833,5.8333,4,109,22,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,144,0.035,0.038,ns,,,,,,,,,
6738,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2001,2001,HV,52.0833,5.8333,4,110,23,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,224,-0.021,0.033,ns,,,,,,,,,
6739,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2002,2002,HV,52.0833,5.8333,4,111,24,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,173,0.02,0.036,ns,,,,,,,,,
6740,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2003,2003,HV,52.0833,5.8333,4,112,25,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,298,0.05,0.025,ns,,,,,,,,,
6741,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2004,2004,HV,52.0833,5.8333,4,113,26,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,146,0.071,0.041,ns,,,,,,,,,
6742,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2005,2005,HV,52.0833,5.8333,4,114,27,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,280,0.048,0.027,ns,,,,,,,,,
6743,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2006,2006,HV,52.0833,5.8333,4,115,28,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,157,0.021,0.04,ns,,,,,,,,,
6744,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2007,2007,HV,52.0833,5.8333,4,116,29,1,1,1,2,1,1,2,tarsus length,OtherMO,OMO,survival to the next breeding season,S,147,0.013,0.041,ns,,,,,,,,,
6745,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1979,1979,OH,51.641,4.8617,5,1,1,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,54,0.059,0.137,ns,,,,,,,,,
6746,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1980,1980,OH,51.641,4.8617,5,2,2,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,72,-0.375,0.235,ns,,,,,,,,,
6747,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1981,1981,OH,51.641,4.8617,5,3,3,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,68,-0.229,0.213,ns,,,,,,,,,
6748,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1982,1982,OH,51.641,4.8617,5,4,4,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,72,0.368,0.152,ns,,,,,,,,,
6749,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1983,1983,OH,51.641,4.8617,5,5,5,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,75,0.299,0.174,ns,,,,,,,,,
6750,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1984,1984,OH,51.641,4.8617,5,6,6,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,70,-0.084,0.196,ns,,,,,,,,,
6751,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1985,1985,OH,51.641,4.8617,5,7,7,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,83,-0.143,0.15,ns,,,,,,,,,
6752,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1986,1986,OH,51.641,4.8617,5,8,8,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,67,-0.174,0.146,ns,,,,,,,,,
6753,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1987,1987,OH,51.641,4.8617,5,9,9,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,71,-0.098,0.128,ns,,,,,,,,,
6754,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1988,1988,OH,51.641,4.8617,5,10,10,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,103,-0.192,0.323,ns,,,,,,,,,
6755,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1989,1989,OH,51.641,4.8617,5,11,11,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,81,-0.118,0.171,ns,,,,,,,,,
6756,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1990,1990,OH,51.641,4.8617,5,12,12,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,84,-0.091,0.166,ns,,,,,,,,,
6757,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1991,1991,OH,51.641,4.8617,5,13,13,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,83,0.18,0.177,ns,,,,,,,,,
6758,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1992,1992,OH,51.641,4.8617,5,14,14,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,61,0.107,0.115,ns,,,,,,,,,
6759,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1993,1993,OH,51.641,4.8617,5,15,15,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,71,0.063,0.175,ns,,,,,,,,,
6760,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1994,1994,OH,51.641,4.8617,5,16,16,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,30,-0.183,0.317,ns,,,,,,,,,
6761,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1995,1995,OH,51.641,4.8617,5,17,17,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,46,-0.097,0.162,ns,,,,,,,,,
6762,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1996,1996,OH,51.641,4.8617,5,18,18,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,79,-0.078,0.248,ns,,,,,,,,,
6763,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1997,1997,OH,51.641,4.8617,5,19,19,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,23,0.442,0.477,ns,,,,,,,,,
6764,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1998,1998,OH,51.641,4.8617,5,20,20,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,53,-0.086,0.201,ns,,,,,,,,,
6765,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1999,1999,OH,51.641,4.8617,5,21,21,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,43,0.605,0.232,<0.05,,,,,,,,,
6766,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2000,2000,OH,51.641,4.8617,5,22,22,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,36,-0.1,0.306,<0.05,,,,,,,,,
6767,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2001,2001,OH,51.641,4.8617,5,23,23,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,49,0.324,0.33,ns,,,,,,,,,
6768,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2002,2002,OH,51.641,4.8617,5,24,24,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,70,0.37,0.159,ns,,,,,,,,,
6769,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2003,2003,OH,51.641,4.8617,5,25,25,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,85,0.141,0.184,ns,,,,,,,,,
6770,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2004,2004,OH,51.641,4.8617,5,26,26,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,70,0.032,0.14,ns,,,,,,,,,
6771,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2005,2005,OH,51.641,4.8617,5,27,27,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,103,0.033,0.177,ns,,,,,,,,,
6772,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2006,2006,OH,51.641,4.8617,5,28,28,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,60,0.494,0.302,ns,,,,,,,,,
6773,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2007,2007,OH,51.641,4.8617,5,29,29,1,1,2,1,1,1,1,adult body mass,Size,Size,fecundity(number of offspring breeding in the next generation),F,79,0.169,0.264,ns,,,,,,,,,
6774,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1979,1979,OH,51.641,4.8617,6,30,1,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,,,,,,,,,,,,,
6775,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1980,1980,OH,51.641,4.8617,6,31,2,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,,,,,,,,,,,,,
6776,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1981,1981,OH,51.641,4.8617,6,32,3,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,,,,,,,,,,,,,
6777,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1982,1982,OH,51.641,4.8617,6,33,4,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,,,,,,,,,,,,,
6778,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1983,1983,OH,51.641,4.8617,6,34,5,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,38,0.354,0.212,ns,,,,,,,,,
6779,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1984,1984,OH,51.641,4.8617,6,35,6,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,,,,,,,,,,,,,
6780,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1985,1985,OH,51.641,4.8617,6,36,7,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,50,-0.448,0.201,<0.05,,,,,,,,,
6781,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1986,1986,OH,51.641,4.8617,6,37,8,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,71,0.123,0.146,ns,,,,,,,,,
6782,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1987,1987,OH,51.641,4.8617,6,38,9,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,68,-0.091,0.127,ns,,,,,,,,,
6783,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1988,1988,OH,51.641,4.8617,6,39,10,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,98,-0.058,0.308,ns,,,,,,,,,
6784,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1989,1989,OH,51.641,4.8617,6,40,11,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,74,0.068,0.191,ns,,,,,,,,,
6785,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1990,1990,OH,51.641,4.8617,6,41,12,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,76,-0.086,0.172,ns,,,,,,,,,
6786,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1991,1991,OH,51.641,4.8617,6,42,13,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,70,-0.073,0.193,ns,,,,,,,,,
6787,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1992,1992,OH,51.641,4.8617,6,43,14,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,62,-0.049,0.117,ns,,,,,,,,,
6788,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1993,1993,OH,51.641,4.8617,6,44,15,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,79,0.092,0.159,ns,,,,,,,,,
6789,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1994,1994,OH,51.641,4.8617,6,45,16,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,54,0.196,0.25,ns,,,,,,,,,
6790,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1995,1995,OH,51.641,4.8617,6,46,17,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,60,-0.041,0.162,ns,,,,,,,,,
6791,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1996,1996,OH,51.641,4.8617,6,47,18,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,95,0.17,0.228,ns,,,,,,,,,
6792,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1997,1997,OH,51.641,4.8617,6,48,19,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,21,-0.403,0.476,ns,,,,,,,,,
6793,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1998,1998,OH,51.641,4.8617,6,49,20,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,56,-0.258,0.201,ns,,,,,,,,,
6794,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,1999,1999,OH,51.641,4.8617,6,50,21,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,45,-0.125,0.251,ns,,,,,,,,,
6795,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2000,2000,OH,51.641,4.8617,6,51,22,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,31,-0.668,0.295,<0.05,,,,,,,,,
6796,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2001,2001,OH,51.641,4.8617,6,52,23,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,51,0.265,0.333,ns,,,,,,,,,
6797,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2002,2002,OH,51.641,4.8617,6,53,24,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,71,0.342,0.161,<0.05,,,,,,,,,
6798,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2003,2003,OH,51.641,4.8617,6,54,25,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,91,-0.1,0.187,ns,,,,,,,,,
6799,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2004,2004,OH,51.641,4.8617,6,55,26,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,72,-0.023,0.136,ns,,,,,,,,,
6800,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2005,2005,OH,51.641,4.8617,6,56,27,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,105,-0.141,0.173,ns,,,,,,,,,
6801,"Husby, A; Hille, SM; Visser, ME",2011,American Naturalist,178:202-213,158,Parus major,V,L,2006,2006,OH,51.641,4.8617,6,57,28,1,1,2,2,1,1,1,tarsus length,OtherMO,OMO,fecundity(number of offspring breeding in the next generation),F,80,0.258,0.286,ns,,,,,,,,,
